http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  18:43:57 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  18:43:58 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  18:43:58 New Cassandra host /127.0.0.1:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.2:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.3:9042 added
Connected to cluster: trunk-long-column-names
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.2; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.3; Rack: rack1
Created keyspaces. Sleeping 3s for propagation.
Sleeping 2s...
Warming up WRITE with 150000 iterations...
Running WRITE with 5 threads for 500000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,          2262,    2263,    2263,    2263,     1.6,     1.2,     3.0,     8.2,    44.4,    44.5,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,          4144,    1873,    1873,    1873,     2.2,     1.5,     6.0,    13.3,    26.6,    32.9,    2.0,  0.08120,      0,      0,       0,       0,       0,       0
total,          6746,    2594,    2594,    2594,     1.5,     1.1,     2.8,     9.2,    36.2,    36.9,    3.0,  0.08308,      0,      0,       0,       0,       0,       0
total,          9413,    2658,    2658,    2658,     1.5,     1.2,     2.7,     7.1,    15.6,    16.7,    4.0,  0.06800,      0,      0,       0,       0,       0,       0
total,         12180,    2761,    2761,    2761,     1.3,     1.1,     2.3,     4.9,    28.7,    30.6,    5.0,  0.06029,      0,      0,       0,       0,       0,       0
total,         14377,    2191,    2191,    2191,     1.9,     1.2,     5.3,    12.4,    46.3,    48.0,    6.0,  0.05208,      0,      0,       0,       0,       0,       0
total,         16399,    2016,    2016,    2016,     2.1,     1.3,     6.0,    15.2,    39.0,    39.1,    7.0,  0.04971,      0,      0,       0,       0,       0,       0
total,         18685,    2280,    2280,    2280,     1.9,     1.3,     4.7,    10.1,    44.2,    53.6,    8.0,  0.04355,      0,      0,       0,       0,       0,       0
total,         21157,    2465,    2465,    2465,     1.8,     1.2,     4.3,     9.4,    54.6,    62.3,    9.0,  0.03906,      0,      0,       0,       0,       0,       0
total,         23399,    2229,    2229,    2229,     2.0,     1.1,     4.4,    20.1,    56.3,    64.1,   10.0,  0.03612,      0,      0,       0,       0,       0,       0
total,         25499,    2087,    2087,    2087,     2.2,     1.4,     5.8,    13.5,    39.5,    47.2,   11.0,  0.03504,      0,      0,       0,       0,       0,       0
total,         27295,    1790,    1790,    1790,     2.5,     1.4,     5.8,    20.9,    76.2,    77.8,   12.0,  0.03588,      0,      0,       0,       0,       0,       0
total,         29699,    2388,    2388,    2388,     1.8,     1.3,     4.3,     9.3,    56.2,    61.4,   13.0,  0.03327,      0,      0,       0,       0,       0,       0
total,         31827,    2134,    2134,    2134,     2.0,     1.4,     4.1,    12.7,    67.0,    68.1,   14.0,  0.03122,      0,      0,       0,       0,       0,       0
total,         33681,    1781,    1781,    1781,     2.5,     1.5,     6.8,    17.6,    65.1,    65.3,   15.1,  0.03337,      0,      0,       0,       0,       0,       0
total,         35656,    1968,    1968,    1968,     2.3,     1.3,     6.1,    14.3,    74.9,    76.0,   16.1,  0.03192,      0,      0,       0,       0,       0,       0
total,         37786,    2116,    2116,    2116,     2.1,     1.2,     4.1,    14.1,    84.2,    87.8,   17.1,  0.03045,      0,      0,       0,       0,       0,       0
total,         39913,    2118,    2118,    2118,     2.1,     1.3,     5.2,    11.4,    59.6,    68.8,   18.1,  0.02884,      0,      0,       0,       0,       0,       0
total,         41750,    1829,    1829,    1829,     2.5,     1.4,     5.1,    42.5,    88.8,    88.9,   19.1,  0.02835,      0,      0,       0,       0,       0,       0
total,         44058,    2296,    2296,    2296,     1.9,     1.3,     5.1,    11.6,    24.5,    31.2,   20.1,  0.02692,      0,      0,       0,       0,       0,       0
total,         45995,    1928,    1928,    1928,     2.4,     1.3,     5.4,    21.0,   106.2,   122.1,   21.1,  0.02584,      0,      0,       0,       0,       0,       0
total,         48115,    2108,    2108,    2108,     2.1,     1.2,     5.4,    13.8,    62.4,    64.3,   22.1,  0.02470,      0,      0,       0,       0,       0,       0
total,         50000,    1874,    1874,    1874,     2.4,     1.3,     6.1,    37.2,    66.7,    76.0,   23.1,  0.02483,      0,      0,       0,       0,       0,       0
total,         51902,    1892,    1892,    1892,     2.4,     1.4,     5.4,    13.3,    82.4,    85.0,   24.1,  0.02415,      0,      0,       0,       0,       0,       0
total,         54252,    2324,    2324,    2324,     1.9,     1.3,     4.7,     9.4,    57.1,    67.2,   25.1,  0.02331,      0,      0,       0,       0,       0,       0
